call_ID,round number,salesperson talking time,SP pause,total round pauses,customer talking time,crosstalk1,crosstalk2,crosstalk3,crosstalk4,crosstalk5
00T6000005auc1cEAA.txt,5,00:09.230,00:-1.678,00:00.001,00:00.000,00:00.000,00:00.000,00:00.000,00:03.626,00:00.000,
00T6000005auc1cEAA.txt,6,00:07.783,-1:59.262,-1:50.001,00:11.356,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auc1cEAA.txt,7,00:05.928,00:03.215,00:00.914,00:02.536,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auc1cEAA.txt,8,00:09.201,00:00.515,00:00.707,00:00.561,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auc1cEAA.txt,9,00:09.836,00:00.413,00:01.563,00:02.388,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auc1cEAA.txt,10,00:04.689,00:00.501,00:00.914,00:08.641,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auc1cEAA.txt,11,00:03.507,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auL97EAE.txt,1,00:01.116,00:00.429,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auL97EAE.txt,2,00:00.993,00:00.699,00:00.895,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auL97EAE.txt,3,00:01.692,00:00.527,00:00.944,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auL97EAE.txt,4,00:00.270,00:00.576,00:21.446,00:00.270,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auL97EAE.txt,5,00:03.004,00:00.454,00:00.001,00:00.392,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auL97EAE.txt,6,00:01.385,00:00.454,00:01.190,00:00.404,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auL97EAE.txt,7,00:01.778,00:00.441,00:00.638,00:00.539,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auL97EAE.txt,8,00:27.909,00:00.441,00:00.723,00:02.048,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auL97EAE.txt,9,00:03.986,00:00.601,00:00.001,00:03.922,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
